Каталунов Сергій Анатолійович,https://public.nazk.gov.ua/search?page=1&q=Каталунов Сергій Анатолійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Немченко Катерина Ігорівна,https://public.nazk.gov.ua/search?page=1&q=Немченко Катерина Ігорівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Гладкий Андрій Вікторович,https://public.nazk.gov.ua/search?page=1&q=Гладкий Андрій Вікторович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Гороховський Михайло Семенович,https://public.nazk.gov.ua/search?page=1&q=Гороховський Михайло Семенович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Нікітін Сергій Вячеславович,https://public.nazk.gov.ua/search?page=1&q=Нікітін Сергій Вячеславович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Нечепуренко Микита Олександрович,https://public.nazk.gov.ua/search?page=1&q=Нечепуренко Микита Олександрович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Морозенко Євгеній Вадимович,https://public.nazk.gov.ua/search?page=1&q=Морозенко Євгеній Вадимович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Стародубець Олена Володимирівна,https://public.nazk.gov.ua/search?page=1&q=Стародубець Олена Володимирівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Сакоян Каріне Самвелівна,https://public.nazk.gov.ua/search?page=1&q=Сакоян Каріне Самвелівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Худяков Єгор Олегович,https://public.nazk.gov.ua/search?page=1&q=Худяков Єгор Олегович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Береза Ніна Іванівна,https://public.nazk.gov.ua/search?page=1&q=Береза Ніна Іванівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
